Flux	P.gergoviae	V.alginolyticus	A.hydrophila	S.putrefaciens
Protocatechuate (PCA)	14.96737409	-29.96737409	NA	NA
4-Carboxymuconolactone	29.96737409	-29.96737409	NA	NA
3-Carboxy-cis,cis-muconate	-29.96737409	29.96737409	NA	NA
3-oxoadipate-enol-lactone	-29.96737409	29.96737409	NA	NA
Glycerol	-616.5956415	557.7323169	NA	64.91613602
Succinate	1000	-823.2623725	67.21206542	-243.9496929
Fumarate	-608.8851424	557.0350489	-70.86169442	122.711788
L-Malate	131.3667685	-174.6355585	-74.90011449	118.1689045
L-Aspartate	-476.559348	440.6631991	35.8961489	NA
L-Serine	509.9213237	-441.5579032	77.79669266	-146.1601131
L-Alanine	-96.45661865	NA	17.65946658	78.44138818
